Gender,Attrition/Retention ,Age group,Department,Education Switch Calc,Job Role,Attrition,Attrition Label,Education,Education Field,Switch Attrition/Retention ,0,Age,Attrition Count,Employee Count,Job Involvement,Job Level,Job Satisfaction,Relationship Satisfaction,Work Life Balance,Environment Satisfaction,Attrition,CF_current Employee,Total Working Years,Years In Current Role,Monthly Income,
Female,Attrition,35-44,Sales,Associates Degree,Sales Executive,Yes,Attrited Employees,Associates Degree,Life Sciences,TRUE,0,41,1,1,3,2,4,1,1,2,Yes,0,8,4,5993,
Male,Retention,45-55,R & D,High School,Research Scientist,No,Current Employees,High School,Life Sciences,TRUE,0,49,,1,2,2,2,4,3,3,No,1,10,7,5130,
Male,Attrition,35-44,R & D,Associates Degree,Laboratory Technician,Yes,Attrited Employees,Associates Degree,Other,TRUE,0,37,1,1,2,1,3,2,3,4,Yes,0,7,0,2090,
Female,Retention,25-34,R & D,Master's Degree,Research Scientist,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,33,,1,3,1,3,3,3,4,No,1,8,7,2909,
Male,Retention,25-34,R & D,High School,Laboratory Technician,No,Current Employees,High School,Medical,TRUE,0,27,,1,3,1,2,4,3,1,No,1,6,2,3468,
Male,Retention,25-34,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,32,,1,3,1,4,3,2,4,No,1,8,7,3068,
Female,Retention,> 55,R & D,Bachelor's Degree,Laboratory Technician,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,59,,1,4,1,1,1,2,3,No,1,12,0,2670,
Male,Retention,25-34,R & D,High School,Laboratory Technician,No,Current Employees,High School,Life Sciences,TRUE,0,30,,1,3,1,3,2,3,4,No,1,1,0,2693,
Male,Retention,35-44,R & D,Bachelor's Degree,Manufacturing Director,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,38,,1,2,3,3,2,3,4,No,1,10,7,9526,
Male,Retention,35-44,R & D,Bachelor's Degree,Healthcare Representative,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,36,,1,3,2,3,2,2,3,No,1,17,7,5237,
Male,Retention,35-44,R & D,Bachelor's Degree,Laboratory Technician,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,35,,1,4,1,2,3,3,1,No,1,6,4,2426,
Female,Retention,25-34,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,29,,1,2,2,3,4,3,4,No,1,10,5,4193,
Male,Retention,25-34,R & D,High School,Research Scientist,No,Current Employees,High School,Life Sciences,TRUE,0,31,,1,3,1,3,4,2,1,No,1,5,2,2911,
Male,Retention,25-34,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Medical,TRUE,0,34,,1,3,1,4,3,3,2,No,1,3,2,2661,
Male,Attrition,25-34,R & D,Bachelor's Degree,Laboratory Technician,Yes,Attrited Employees,Bachelor's Degree,Life Sciences,TRUE,0,28,1,1,2,1,3,2,3,3,Yes,0,6,2,2028,
Female,Retention,25-34,R & D,Master's Degree,Manufacturing Director,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,29,,1,4,3,1,3,3,2,No,1,10,9,9980,
Male,Retention,25-34,R & D,Associates Degree,Research Scientist,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,32,,1,4,1,2,4,2,1,No,1,7,2,3298,
Male,Retention,< 25,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Medical,TRUE,0,22,,1,4,1,4,2,2,4,No,1,1,0,2935,
Female,Retention,45-55,Sales,Master's Degree,Manager,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,53,,1,2,4,4,3,3,1,No,1,31,8,15427,
Male,Retention,35-44,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,38,,1,3,1,4,3,3,4,No,1,6,2,3944,
Female,Retention,< 25,R & D,Associates Degree,Manufacturing Director,No,Current Employees,Associates Degree,Other,TRUE,0,24,,1,4,2,3,4,2,1,No,1,5,2,4011,
Male,Attrition,35-44,Sales,Master's Degree,Sales Representative,Yes,Attrited Employees,Master's Degree,Life Sciences,TRUE,0,36,1,1,2,1,1,2,3,3,Yes,0,10,3,3407,
Female,Retention,25-34,R & D,Master's Degree,Research Director,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,34,,1,3,3,2,3,3,1,No,1,13,6,11994,
Male,Retention,< 25,R & D,Associates Degree,Research Scientist,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,21,,1,3,1,4,4,3,3,No,1,0,0,1232,
Male,Attrition,25-34,R & D,High School,Research Scientist,Yes,Attrited Employees,High School,Medical,TRUE,0,34,1,1,3,1,1,3,3,2,Yes,0,8,2,2960,
Female,Retention,45-55,R & D,Bachelor's Degree,Manager,No,Current Employees,Bachelor's Degree,Other,TRUE,0,53,,1,3,5,3,4,2,3,No,1,26,13,19094,
Female,Attrition,25-34,R & D,High School,Research Scientist,Yes,Attrited Employees,High School,Life Sciences,TRUE,0,32,1,1,1,1,1,2,3,2,Yes,0,10,2,3919,
Male,Retention,35-44,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Marketing,TRUE,0,42,,1,3,2,2,4,3,3,No,1,10,7,6825,
Female,Retention,35-44,R & D,Master's Degree,Healthcare Representative,No,Current Employees,Master's Degree,Medical,TRUE,0,44,,1,2,3,4,4,3,1,No,1,24,6,10248,
Female,Retention,45-55,Sales,Master's Degree,Manager,No,Current Employees,Master's Degree,Marketing,TRUE,0,46,,1,3,5,1,4,2,2,No,1,22,2,18947,
Male,Retention,25-34,R & D,Bachelor's Degree,Laboratory Technician,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,33,,1,3,1,4,4,3,3,No,1,7,1,2496,
Male,Retention,35-44,R & D,Master's Degree,Healthcare Representative,No,Current Employees,Master's Degree,Other,TRUE,0,44,,1,3,2,4,4,4,4,No,1,9,2,6465,
Male,Retention,25-34,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Medical,TRUE,0,30,,1,2,1,3,1,3,4,No,1,10,0,2206,
Male,Attrition,35-44,Sales,Bachelor's Degree,Sales Representative,Yes,Attrited Employees,Bachelor's Degree,Technical Degree,TRUE,0,39,1,1,3,2,4,3,4,4,Yes,0,19,0,2086,
Male,Attrition,< 25,R & D,Bachelor's Degree,Research Scientist,Yes,Attrited Employees,Bachelor's Degree,Medical,TRUE,0,24,1,1,3,1,4,1,2,2,Yes,0,6,0,2293,
Female,Retention,35-44,R & D,Associates Degree,Research Scientist,No,Current Employees,Associates Degree,Medical,TRUE,0,43,,1,4,1,3,4,2,4,No,1,6,3,2645,
Male,Attrition,45-55,Sales,Associates Degree,Sales Representative,Yes,Attrited Employees,Associates Degree,Marketing,TRUE,0,50,1,1,2,1,3,3,3,1,Yes,0,3,2,2683,
Female,Retention,35-44,Sales,Bachelor's Degree,Sales Representative,No,Current Employees,Bachelor's Degree,Marketing,TRUE,0,35,,1,3,1,4,1,3,4,No,1,2,2,2014,
Female,Retention,35-44,R & D,Master's Degree,Research Scientist,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,36,,1,2,1,1,4,4,2,No,1,6,1,3419,
Female,Retention,25-34,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,33,,1,4,2,1,1,3,3,No,1,10,3,5376,
Male,Retention,35-44,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Other,TRUE,0,35,,1,3,1,4,3,3,3,No,1,1,0,1951,
Female,Retention,25-34,R & D,Master's Degree,Laboratory Technician,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,27,,1,3,1,1,4,3,4,No,1,1,0,2341,
Male,Attrition,25-34,R & D,Bachelor's Degree,Laboratory Technician,Yes,Attrited Employees,Bachelor's Degree,Life Sciences,TRUE,0,26,1,1,1,1,3,3,2,1,Yes,0,1,0,2293,
Male,Retention,25-34,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,27,,1,3,3,3,4,3,4,No,1,9,8,8726,
Female,Retention,25-34,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Medical,TRUE,0,30,,1,3,2,4,4,3,3,No,1,12,8,4011,
Female,Attrition,35-44,R & D,Bachelor's Degree,Research Director,Yes,Attrited Employees,Bachelor's Degree,Technical Degree,TRUE,0,41,1,1,3,5,3,4,3,2,Yes,0,23,15,19545,
Male,Retention,25-34,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Marketing,TRUE,0,34,,1,3,2,3,3,3,2,No,1,10,5,4568,
Male,Retention,35-44,R & D,Associates Degree,Research Scientist,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,37,,1,3,1,2,1,3,2,No,1,8,0,3022,
Male,Retention,45-55,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Marketing,TRUE,0,46,,1,3,2,4,3,3,1,No,1,14,6,5772,
Male,Retention,35-44,R & D,High School,Laboratory Technician,No,Current Employees,High School,Life Sciences,TRUE,0,35,,1,4,1,4,4,3,4,No,1,1,0,2269,
Male,Attrition,45-55,R & D,Associates Degree,Laboratory Technician,Yes,Attrited Employees,Associates Degree,Life Sciences,TRUE,0,48,1,1,2,3,3,4,3,1,Yes,0,23,0,5381,
Male,Attrition,25-34,R & D,Master's Degree,Laboratory Technician,Yes,Attrited Employees,Master's Degree,Technical Degree,TRUE,0,28,1,1,3,1,3,3,2,3,Yes,0,2,2,3441,
Female,Retention,35-44,Sales,Doctoral Degree,Sales Executive,No,Current Employees,Doctoral Degree,Marketing,TRUE,0,44,,1,3,2,1,3,2,2,No,1,9,3,5454,
